date,symbol,expiration,dte,option_type,strike,bid,ask,mid,delta,gamma,theta,vega,iv,open_interest,volume
2025-03-10,QQQ,2025-03-14,4,call,490.0,30.09,31.31,30.7,0.9999,6e-05,-0.0006,0.2793,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,put,490.0,0.01,0.02,0.01,-0.0001,6e-05,-0.0006,0.2793,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,call,495.0,25.19,26.22,25.7,0.9988,0.00046,-0.0044,2.106,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,put,495.0,0.01,0.02,0.01,-0.0012,0.00046,-0.0044,2.106,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,call,500.0,20.31,21.14,20.73,0.9925,0.00239,-0.0227,10.8383,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,put,500.0,0.02,0.02,0.02,-0.0075,0.00239,-0.0227,10.8383,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,call,505.0,15.5,16.13,15.81,0.9668,0.00848,-0.0806,38.4894,16.0,814,203
2025-03-10,QQQ,2025-03-14,4,put,505.0,0.11,0.12,0.11,-0.0332,0.00848,-0.0806,38.4894,16.0,488,122
2025-03-10,QQQ,2025-03-14,4,call,510.0,10.92,11.37,11.14,0.894,0.02099,-0.1996,95.3422,16.0,5097,1274
2025-03-10,QQQ,2025-03-14,4,put,510.0,0.44,0.46,0.45,-0.106,0.02099,-0.1996,95.3422,16.0,3058,764
2025-03-10,QQQ,2025-03-14,4,call,515.0,6.89,7.17,7.03,0.7471,0.03666,-0.3485,166.4619,16.0,15920,3980
2025-03-10,QQQ,2025-03-14,4,put,515.0,1.31,1.36,1.33,-0.2529,0.03666,-0.3485,166.4619,16.0,9552,2388
2025-03-10,QQQ,2025-03-14,4,call,520.0,3.76,3.91,3.83,0.5353,0.04556,-0.4332,206.9139,16.0,24830,6207
2025-03-10,QQQ,2025-03-14,4,put,520.0,3.08,3.2,3.14,-0.4647,0.04556,-0.4332,206.9139,16.0,14898,3724
2025-03-10,QQQ,2025-03-14,4,call,525.0,1.72,1.79,1.75,0.3147,0.04071,-0.3871,184.8911,16.0,19337,4834
2025-03-10,QQQ,2025-03-14,4,put,525.0,5.94,6.18,6.06,-0.6853,0.04071,-0.3871,184.8911,16.0,11602,2900
2025-03-10,QQQ,2025-03-14,4,call,530.0,0.64,0.67,0.66,0.1472,0.0264,-0.251,119.8825,16.0,7520,1880
2025-03-10,QQQ,2025-03-14,4,put,530.0,9.76,10.16,9.96,-0.8528,0.0264,-0.251,119.8825,16.0,4512,1128
2025-03-10,QQQ,2025-03-14,4,call,535.0,0.19,0.2,0.2,0.0538,0.01253,-0.1192,56.9155,16.0,1460,365
2025-03-10,QQQ,2025-03-14,4,put,535.0,14.21,14.79,14.5,-0.9462,0.01253,-0.1192,56.9155,16.0,876,219
2025-03-10,QQQ,2025-03-14,4,call,540.0,0.05,0.05,0.05,0.0152,0.00439,-0.0418,19.9585,16.0,141,35
2025-03-10,QQQ,2025-03-14,4,put,540.0,18.96,19.73,19.34,-0.9848,0.00439,-0.0418,19.9585,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,call,545.0,0.01,0.02,0.01,0.0033,0.00115,-0.0109,5.2133,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,put,545.0,23.82,24.79,24.3,-0.9967,0.00115,-0.0109,5.2133,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,call,550.0,0.01,0.02,0.01,0.0006,0.00023,-0.0021,1.0226,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,put,550.0,28.72,29.89,29.3,-0.9994,0.00023,-0.0021,1.0226,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,call,555.0,0.01,0.02,0.01,0.0001,3e-05,-0.0003,0.1518,16.0,100,25
2025-03-10,QQQ,2025-03-14,4,put,555.0,33.61,34.99,34.3,-0.9999,3e-05,-0.0003,0.1518,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,490.0,30.16,31.39,30.77,0.9862,0.00244,-0.0232,18.4027,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,put,490.0,0.07,0.07,0.07,-0.0138,0.00244,-0.0232,18.4027,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,495.0,25.37,26.41,25.89,0.9668,0.00511,-0.0486,38.4915,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,put,495.0,0.19,0.19,0.19,-0.0332,0.00511,-0.0486,38.4915,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,500.0,20.73,21.58,21.16,0.9298,0.0093,-0.0885,70.0615,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,put,500.0,0.45,0.46,0.46,-0.0702,0.0093,-0.0885,70.0615,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,505.0,16.34,17.01,16.68,0.8678,0.0148,-0.1407,111.4273,16.0,814,203
2025-03-10,QQQ,2025-03-21,11,put,505.0,0.95,0.99,0.97,-0.1322,0.0148,-0.1407,111.4273,16.0,488,122
2025-03-10,QQQ,2025-03-21,11,call,510.0,12.33,12.84,12.59,0.7768,0.02064,-0.1963,155.4554,16.0,5097,1274
2025-03-10,QQQ,2025-03-21,11,put,510.0,1.85,1.92,1.89,-0.2232,0.02064,-0.1963,155.4554,16.0,3058,764
2025-03-10,QQQ,2025-03-21,11,call,515.0,8.85,9.21,9.03,0.6592,0.02536,-0.2411,190.9698,16.0,15920,3980
2025-03-10,QQQ,2025-03-21,11,put,515.0,3.27,3.4,3.33,-0.3408,0.02536,-0.2411,190.9698,16.0,9552,2388
2025-03-10,QQQ,2025-03-21,11,call,520.0,6.0,6.25,6.12,0.5248,0.02753,-0.2618,207.3262,16.0,24830,6207
2025-03-10,QQQ,2025-03-21,11,put,520.0,5.31,5.53,5.42,-0.4752,0.02753,-0.2618,207.3262,16.0,14898,3724
2025-03-10,QQQ,2025-03-21,11,call,525.0,3.82,3.97,3.9,0.3889,0.02651,-0.252,199.6202,16.0,19337,4834
2025-03-10,QQQ,2025-03-21,11,put,525.0,8.03,8.36,8.2,-0.6111,0.02651,-0.252,199.6202,16.0,11602,2900
2025-03-10,QQQ,2025-03-21,11,call,530.0,2.27,2.36,2.31,0.2665,0.02271,-0.2159,171.0379,16.0,7520,1880
2025-03-10,QQQ,2025-03-21,11,put,530.0,11.38,11.85,11.62,-0.7335,0.02271,-0.2159,171.0379,16.0,4512,1128
2025-03-10,QQQ,2025-03-21,11,call,535.0,1.25,1.31,1.28,0.1681,0.01737,-0.1652,130.8412,16.0,1460,365
2025-03-10,QQQ,2025-03-21,11,put,535.0,15.27,15.89,15.58,-0.8319,0.01737,-0.1652,130.8412,16.0,876,219
2025-03-10,QQQ,2025-03-21,11,call,540.0,0.64,0.67,0.66,0.0974,0.0119,-0.1132,89.6475,16.0,141,35
2025-03-10,QQQ,2025-03-21,11,put,540.0,19.56,20.36,19.96,-0.9026,0.0119,-0.1132,89.6475,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,545.0,0.3,0.32,0.31,0.0517,0.00733,-0.0697,55.183,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,put,545.0,24.12,25.1,24.61,-0.9483,0.00733,-0.0697,55.183,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,550.0,0.13,0.14,0.14,0.0252,0.00406,-0.0386,30.6078,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,put,550.0,28.85,30.03,29.44,-0.9748,0.00406,-0.0386,30.6078,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,call,555.0,0.05,0.06,0.06,0.0112,0.00204,-0.0194,15.3413,16.0,100,25
2025-03-10,QQQ,2025-03-21,11,put,555.0,33.67,35.04,34.36,-0.9888,0.00204,-0.0194,15.3413,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,490.0,30.4,31.64,31.02,0.958,0.00484,-0.0461,46.6721,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,put,490.0,0.31,0.33,0.32,-0.042,0.00484,-0.0461,46.6721,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,495.0,25.8,26.85,26.33,0.9254,0.00762,-0.0725,73.4118,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,put,495.0,0.61,0.64,0.62,-0.0746,0.00762,-0.0725,73.4118,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,500.0,21.41,22.28,21.84,0.8769,0.01101,-0.1047,106.0653,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,put,500.0,1.12,1.17,1.15,-0.1231,0.01101,-0.1047,106.0653,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,505.0,17.31,18.02,17.66,0.8104,0.01465,-0.1393,141.1108,16.0,814,203
2025-03-10,QQQ,2025-03-28,18,put,505.0,1.92,2.0,1.96,-0.1896,0.01465,-0.1393,141.1108,16.0,488,122
2025-03-10,QQQ,2025-03-28,18,call,510.0,13.59,14.14,13.87,0.7265,0.01799,-0.171,173.2876,16.0,5097,1274
2025-03-10,QQQ,2025-03-28,18,put,510.0,3.1,3.23,3.17,-0.2735,0.01799,-0.171,173.2876,16.0,3058,764
2025-03-10,QQQ,2025-03-28,18,call,515.0,10.33,10.75,10.54,0.6284,0.02044,-0.1943,196.8791,16.0,15920,3980
2025-03-10,QQQ,2025-03-28,18,put,515.0,4.74,4.94,4.84,-0.3716,0.02044,-0.1943,196.8791,16.0,9552,2388
2025-03-10,QQQ,2025-03-28,18,call,520.0,7.58,7.89,7.73,0.5222,0.02153,-0.2047,207.4081,16.0,24830,6207
2025-03-10,QQQ,2025-03-28,18,put,520.0,6.89,7.17,7.03,-0.4778,0.02153,-0.2047,207.4081,16.0,14898,3724
2025-03-10,QQQ,2025-03-28,18,call,525.0,5.35,5.57,5.46,0.4154,0.02108,-0.2004,203.0398,16.0,19337,4834
2025-03-10,QQQ,2025-03-28,18,put,525.0,9.56,9.95,9.75,-0.5846,0.02108,-0.2004,203.0398,16.0,11602,2900
2025-03-10,QQQ,2025-03-28,18,call,530.0,3.63,3.78,3.71,0.3154,0.01921,-0.1827,185.0839,16.0,7520,1880
2025-03-10,QQQ,2025-03-28,18,put,530.0,12.74,13.26,13.0,-0.6846,0.01921,-0.1827,185.0839,16.0,4512,1128
2025-03-10,QQQ,2025-03-28,18,call,535.0,2.36,2.46,2.41,0.2282,0.01634,-0.1554,157.42,16.0,1460,365
2025-03-10,QQQ,2025-03-28,18,put,535.0,16.37,17.04,16.7,-0.7718,0.01634,-0.1554,157.42,16.0,876,219
2025-03-10,QQQ,2025-03-28,18,call,540.0,1.47,1.53,1.5,0.1571,0.01299,-0.1235,125.1692,16.0,141,35
2025-03-10,QQQ,2025-03-28,18,put,540.0,20.38,21.21,20.8,-0.8429,0.01299,-0.1235,125.1692,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,545.0,0.87,0.91,0.89,0.1028,0.00968,-0.092,93.2168,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,put,545.0,24.69,25.7,25.2,-0.8972,0.00968,-0.092,93.2168,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,550.0,0.5,0.52,0.51,0.0639,0.00676,-0.0643,65.1384,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,put,550.0,29.21,30.4,29.8,-0.9361,0.00676,-0.0643,65.1384,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,call,555.0,0.27,0.28,0.28,0.0377,0.00444,-0.0422,42.7845,16.0,100,25
2025-03-10,QQQ,2025-03-28,18,put,555.0,33.88,35.27,34.58,-0.9623,0.00444,-0.0422,42.7845,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,490.0,30.76,32.02,31.39,0.9295,0.00619,-0.0589,70.2878,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,put,490.0,0.68,0.71,0.7,-0.0705,0.00619,-0.0589,70.2878,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,495.0,26.33,27.41,26.87,0.8906,0.00859,-0.0817,97.5276,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,put,495.0,1.15,1.19,1.17,-0.1094,0.00859,-0.0817,97.5276,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,500.0,22.14,23.04,22.59,0.8388,0.01121,-0.1066,127.2917,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,put,500.0,1.85,1.93,1.89,-0.1612,0.01121,-0.1066,127.2917,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,505.0,18.24,18.98,18.61,0.774,0.01379,-0.1311,156.558,16.0,814,203
2025-03-10,QQQ,2025-04-04,25,put,505.0,2.85,2.97,2.91,-0.226,0.01379,-0.1311,156.558,16.0,488,122
2025-03-10,QQQ,2025-04-04,25,call,510.0,14.7,15.3,15.0,0.6973,0.01601,-0.1522,181.7622,16.0,5097,1274
2025-03-10,QQQ,2025-04-04,25,put,510.0,4.21,4.38,4.29,-0.3027,0.01601,-0.1522,181.7622,16.0,3058,764
2025-03-10,QQQ,2025-04-04,25,call,515.0,11.56,12.03,11.79,0.6117,0.01757,-0.1671,199.5299,16.0,15920,3980
2025-03-10,QQQ,2025-04-04,25,put,515.0,5.98,6.22,6.1,-0.3883,0.01757,-0.1671,199.5299,16.0,9552,2388
2025-03-10,QQQ,2025-04-04,25,call,520.0,8.87,9.23,9.05,0.5212,0.01827,-0.1737,207.437,16.0,24830,6207
2025-03-10,QQQ,2025-04-04,25,put,520.0,8.18,8.51,8.34,-0.4788,0.01827,-0.1737,207.437,16.0,14898,3724
2025-03-10,QQQ,2025-04-04,25,call,525.0,6.62,6.89,6.75,0.4304,0.01802,-0.1713,204.5559,16.0,19337,4834
2025-03-10,QQQ,2025-04-04,25,put,525.0,10.83,11.27,11.05,-0.5696,0.01802,-0.1713,204.5559,16.0,11602,2900
2025-03-10,QQQ,2025-04-04,25,call,530.0,4.8,5.0,4.9,0.3439,0.01688,-0.1605,191.6176,16.0,7520,1880
2025-03-10,QQQ,2025-04-04,25,put,530.0,13.91,14.48,14.2,-0.6561,0.01688,-0.1605,191.6176,16.0,4512,1128
2025-03-10,QQQ,2025-04-04,25,call,535.0,3.38,3.52,3.45,0.2656,0.01504,-0.143,170.7592,16.0,1460,365
2025-03-10,QQQ,2025-04-04,25,put,535.0,17.4,18.11,17.75,-0.7344,0.01504,-0.143,170.7592,16.0,876,219
2025-03-10,QQQ,2025-04-04,25,call,540.0,2.31,2.41,2.36,0.1982,0.01277,-0.1214,144.9654,16.0,141,35
2025-03-10,QQQ,2025-04-04,25,put,540.0,21.23,22.09,21.66,-0.8018,0.01277,-0.1214,144.9654,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,545.0,1.53,1.59,1.56,0.1427,0.01034,-0.0983,117.3985,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,put,545.0,25.35,26.38,25.87,-0.8573,0.01034,-0.0983,117.3985,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,550.0,0.98,1.02,1.0,0.0991,0.008,-0.0761,90.8124,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,put,550.0,29.7,30.91,30.3,-0.9009,0.008,-0.0761,90.8124,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,call,555.0,0.61,0.64,0.62,0.0665,0.00592,-0.0563,67.1829,16.0,100,25
2025-03-10,QQQ,2025-04-04,25,put,555.0,34.23,35.62,34.92,-0.9335,0.00592,-0.0563,67.1829,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,490.0,33.1,34.45,33.78,0.8338,0.00738,-0.0702,129.8735,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,put,490.0,3.01,3.14,3.08,-0.1662,0.00738,-0.0702,129.8735,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,495.0,29.2,30.39,29.8,0.7918,0.00849,-0.0807,149.3057,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,put,495.0,4.02,4.18,4.1,-0.2082,0.00849,-0.0807,149.3057,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,500.0,25.53,26.58,26.05,0.7447,0.00951,-0.0905,167.3194,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,put,500.0,5.25,5.46,5.36,-0.2553,0.00951,-0.0905,167.3194,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,505.0,22.12,23.02,22.57,0.693,0.0104,-0.0989,182.9173,16.0,814,203
2025-03-10,QQQ,2025-05-09,60,put,505.0,6.73,7.01,6.87,-0.307,0.0104,-0.0989,182.9173,16.0,488,122
2025-03-10,QQQ,2025-05-09,60,call,510.0,18.97,19.75,19.36,0.6378,0.0111,-0.1055,195.2156,16.0,5097,1274
2025-03-10,QQQ,2025-05-09,60,put,510.0,8.49,8.84,8.66,-0.3622,0.0111,-0.1055,195.2156,16.0,3058,764
2025-03-10,QQQ,2025-05-09,60,call,515.0,16.11,16.77,16.44,0.5801,0.01157,-0.11,203.5294,16.0,15920,3980
2025-03-10,QQQ,2025-05-09,60,put,515.0,10.53,10.96,10.75,-0.4199,0.01157,-0.11,203.5294,16.0,9552,2388
2025-03-10,QQQ,2025-05-09,60,call,520.0,13.54,14.09,13.81,0.5212,0.01179,-0.1121,207.4358,16.0,24830,6207
2025-03-10,QQQ,2025-05-09,60,put,520.0,12.85,13.38,13.12,-0.4788,0.01179,-0.1121,207.4358,16.0,14898,3724
2025-03-10,QQQ,2025-05-09,60,call,525.0,11.26,11.72,11.49,0.4624,0.01176,-0.1118,206.8068,16.0,19337,4834
2025-03-10,QQQ,2025-05-09,60,put,525.0,15.47,16.1,15.79,-0.5376,0.01176,-0.1118,206.8068,16.0,11602,2900
2025-03-10,QQQ,2025-05-09,60,call,530.0,9.26,9.64,9.45,0.405,0.01147,-0.1091,201.8097,16.0,7520,1880
2025-03-10,QQQ,2025-05-09,60,put,530.0,18.37,19.12,18.75,-0.595,0.01147,-0.1091,201.8097,16.0,4512,1128
2025-03-10,QQQ,2025-05-09,60,call,535.0,7.53,7.84,7.69,0.35,0.01097,-0.1043,192.8753,16.0,1460,365
2025-03-10,QQQ,2025-05-09,60,put,535.0,21.54,22.42,21.98,-0.65,0.01097,-0.1043,192.8753,16.0,876,219
2025-03-10,QQQ,2025-05-09,60,call,540.0,6.05,6.3,6.17,0.2985,0.01027,-0.0977,180.6433,16.0,141,35
2025-03-10,QQQ,2025-05-09,60,put,540.0,24.97,25.99,25.48,-0.7015,0.01027,-0.0977,180.6433,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,545.0,4.81,5.01,4.91,0.2512,0.00943,-0.0897,165.8906,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,put,545.0,28.63,29.79,29.21,-0.7488,0.00943,-0.0897,165.8906,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,550.0,3.78,3.94,3.86,0.2086,0.0085,-0.0808,149.4559,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,put,550.0,32.5,33.82,33.16,-0.7914,0.0085,-0.0808,149.4559,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,call,555.0,2.94,3.06,3.0,0.1708,0.00751,-0.0714,132.1671,16.0,100,25
2025-03-10,QQQ,2025-05-09,60,put,555.0,36.55,38.04,37.3,-0.8292,0.00751,-0.0714,132.1671,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,call,490.0,27.76,28.9,28.33,0.9999,3e-05,-0.0003,0.1104,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,put,490.0,0.01,0.02,0.01,-0.0001,3e-05,-0.0003,0.1104,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,call,495.0,22.86,23.8,23.33,0.9993,0.00034,-0.0032,1.308,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,put,495.0,0.01,0.02,0.01,-0.0007,0.00034,-0.0032,1.308,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,call,500.0,17.98,18.71,18.34,0.9936,0.00239,-0.0226,9.3303,16.0,235,58
2025-03-11,QQQ,2025-03-14,3,put,500.0,0.02,0.02,0.02,-0.0064,0.00239,-0.0226,9.3303,16.0,141,35
2025-03-11,QQQ,2025-03-14,3,call,505.0,13.17,13.71,13.44,0.9643,0.01044,-0.0983,40.6745,16.0,2119,529
2025-03-11,QQQ,2025-03-14,3,put,505.0,0.1,0.11,0.11,-0.0357,0.01044,-0.0983,40.6745,16.0,1271,317
2025-03-11,QQQ,2025-03-14,3,call,510.0,8.65,9.0,8.82,0.8695,0.02821,-0.2658,109.9256,16.0,9536,2384
2025-03-11,QQQ,2025-03-14,3,put,510.0,0.48,0.5,0.49,-0.1305,0.02821,-0.2658,109.9256,16.0,5721,1430
2025-03-11,QQQ,2025-03-14,3,call,515.0,4.85,5.04,4.95,0.6742,0.04792,-0.4515,186.7389,16.0,21431,5357
2025-03-11,QQQ,2025-03-14,3,put,515.0,1.58,1.65,1.61,-0.3258,0.04792,-0.4515,186.7389,16.0,12858,3214
2025-03-11,QQQ,2025-03-14,3,call,520.0,2.2,2.29,2.25,0.4151,0.05185,-0.4885,202.0808,16.0,24050,6012
2025-03-11,QQQ,2025-03-14,3,put,520.0,3.83,3.99,3.91,-0.5849,0.05185,-0.4885,202.0808,16.0,14430,3607
2025-03-11,QQQ,2025-03-14,3,call,525.0,0.77,0.8,0.79,0.191,0.03621,-0.3411,141.1113,16.0,13476,3369
2025-03-11,QQQ,2025-03-14,3,put,525.0,7.31,7.61,7.46,-0.809,0.03621,-0.3411,141.1113,16.0,8086,2021
2025-03-11,QQQ,2025-03-14,3,call,530.0,0.2,0.21,0.21,0.0633,0.01652,-0.1556,64.3789,16.0,3771,942
2025-03-11,QQQ,2025-03-14,3,put,530.0,11.64,12.11,11.88,-0.9367,0.01652,-0.1556,64.3789,16.0,2262,565
2025-03-11,QQQ,2025-03-14,3,call,535.0,0.04,0.04,0.04,0.0148,0.00498,-0.047,19.4215,16.0,526,131
2025-03-11,QQQ,2025-03-14,3,put,535.0,16.38,17.04,16.71,-0.9852,0.00498,-0.047,19.4215,16.0,316,79
2025-03-11,QQQ,2025-03-14,3,call,540.0,0.01,0.02,0.01,0.0024,0.00101,-0.0095,3.9194,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,put,540.0,21.24,22.11,21.67,-0.9976,0.00101,-0.0095,3.9194,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,call,545.0,0.01,0.02,0.01,0.0003,0.00014,-0.0013,0.5351,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,put,545.0,26.14,27.2,26.67,-0.9997,0.00014,-0.0013,0.5351,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,call,550.0,0.01,0.02,0.01,0.0,1e-05,-0.0001,0.05,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,put,550.0,31.04,32.3,31.67,-1.0,1e-05,-0.0001,0.05,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,call,555.0,0.01,0.02,0.01,0.0,0.0,-0.0,0.0032,16.0,100,25
2025-03-11,QQQ,2025-03-14,3,put,555.0,35.94,37.4,36.67,-1.0,0.0,-0.0,0.0032,16.0,100,25
2025-03-11,QQQ,2025-03-21,10,call,490.0,27.84,28.98,28.41,0.9836,0.00297,-0.028,21.1433,16.0,100,25
2025-03-11,QQQ,2025-03-21,10,put,490.0,0.08,0.08,0.08,-0.0164,0.00297,-0.028,21.1433,16.0,100,25
2025-03-11,QQQ,2025-03-21,10,call,495.0,23.08,24.02,23.55,0.9601,0.00626,-0.059,44.5457,16.0,100,25
2025-03-11,QQQ,2025-03-21,10,put,495.0,0.22,0.23,0.23,-0.0399,0.00626,-0.059,44.5457,16.0,100,25
2025-03-11,QQQ,2025-03-21,10,call,500.0,18.49,19.25,18.87,0.9151,0.01133,-0.1067,80.5979,16.0,235,58
2025-03-11,QQQ,2025-03-21,10,put,500.0,0.53,0.55,0.54,-0.0849,0.01133,-0.1067,80.5979,16.0,141,35
